ALT 1	☺	White Smiley Face
ALT 2	☻	Black Smiley Face
ALT 3	♥	Black Heart Suit
ALT 4	♦	Black Diamond Suit
ALT 5	♣	Black Club Suit
ALT 6	♠	Black Spade Suit
ALT 7	•	Bullet
ALT 8	◘	Inverse Bullet
ALT 9	○	White Circle
ALT 10	◙	Inverse White Circle
ALT 11	♂	Male Sign, Mars
ALT 12	♀	Female Sign, Venus
ALT 13	♪	Eighth Note, Quaver
ALT 14	♫	Beamed Eighth Notes, Barred Eighth Notes, Beamed Quavers
ALT 15	☼	White Sun With Rays
ALT 16	►	Black Right-Pointing Pointer
ALT 17	◄	Black Left-Pointing Pointer
ALT 18	↕	Up Down Arrow
ALT 19	‼	Double Exclamation Mark
ALT 20	¶	Pilcrow Sign, Paragraph Sign
ALT 21	§	Section Sign
ALT 22	▬	Black Rectangle
ALT 23	↨	Up Down Arrow With Base
ALT 24	↑	Upwards Arrow
ALT 25	↓	Downwards Arrow
ALT 26	→	Rightwards Arrow, Z Notation Total Function
ALT 27	←	Leftwards Arrow
ALT 28	∟	Right Angle
ALT 29	↔	Left Right Arrow, Z Notation Relation
ALT 30	▲	Black Up-Pointing Triangle
ALT 31	▼	Black Down-Pointing Triangle
ALT 32		Space
ALT 33	!	Exclamation Mark, Factorial
ALT 34	“	Quotation Mark
ALT 35	#	Number Sign, Pound Sign, Hash, Crosshatch, Octothorpe
ALT 36	$	Dollar Sign, Milréis, Escudo
ALT 37	%	Percent Sign
ALT 38	&	Ampersand
ALT 39	‘	Apostrophe
ALT 40	(	Left Parenthesis, Opening Parenthesis
ALT 41	)	Right Parenthesis, Closing Parenthesis
ALT 42	*	Asterisk, Star
ALT 43	+	Plus Sign
ALT 44	,	Comma, Decimal Separator
ALT 45	–	Hyphen, Minus Sign
ALT 46	.	Full Stop, Period, Dot, Decimal Point
ALT 47	/	Solidus, Slash, Forward Slash, Virgule
ALT 48	0	Digit Zero
ALT 49	1	Digit One
ALT 50	2	Digit Two
ALT 51	3	Digit Three
ALT 52	4	Digit Four
ALT 53	5	Digit Five
ALT 54	6	Digit Six
ALT 55	7	Digit Seven
ALT 56	8	Digit Eight
ALT 57	9	Digit Nine
ALT 58	:	Colon
ALT 59	;	Semicolon
ALT 60	<	Less-Than Sign
ALT 61	=	Equals Sign
ALT 62	>	Greater-Than Sign
ALT 63	?	Question Mark
ALT 64	@	Commercial At, At Sign
ALT 65	A	Latin Capital Letter A
ALT 66	B	Latin Capital Letter B
ALT 67	C	Latin Capital Letter C
ALT 68	D	Latin Capital Letter D
ALT 69	E	Latin Capital Letter E
ALT 70	F	Latin Capital Letter F
ALT 71	G	Latin Capital Letter G
ALT 72	H	Latin Capital Letter H
ALT 73	I	Latin Capital Letter I
ALT 74	J	Latin Capital Letter J
ALT 75	K	Latin Capital Letter K
ALT 76	L	Latin Capital Letter L
ALT 77	M	Latin Capital Letter M
ALT 78	N	Latin Capital Letter N
ALT 79	O	Latin Capital Letter O
ALT 80	P	Latin Capital Letter P
ALT 81	Q	Latin Capital Letter Q
ALT 82	R	Latin Capital Letter R
ALT 83	S	Latin Capital Letter S
ALT 84	T	Latin Capital Letter T
ALT 85	U	Latin Capital Letter U
ALT 86	V	Latin Capital Letter V
ALT 87	W	Latin Capital Letter W
ALT 88	X	Latin Capital Letter X
ALT 89	Y	Latin Capital Letter Y
ALT 90	Z	Latin Capital Letter Z
ALT 91	[	Left Square Bracket, Opening Square Bracket
ALT 92	\	Reverse Solidus, Back Slash
ALT 93	]	Right Square Bracket, Closing Square Bracket
ALT 94	^	Circumflex Accent
ALT 95	_	Low Line, Underscore
ALT 96	`	Grave Accent
ALT 97	a	Latin Small Letter A
ALT 98	b	Latin Small Letter B
ALT 99	c	Latin Small Letter C
ALT 100	d	Latin Small Letter D
ALT 101	e	Latin Small Letter E
